Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
37352659,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37362190,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37372166,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37372402,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
37372650,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
37372888,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
37373137,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
37373376,00000620,false,Rx,1,8,21,78,00,00,00,00,0A,0B,
37373614,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
37382283,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37392300,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37402628,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37412159,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37422654,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37432672,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37442680,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37452666,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37462189,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37472163,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37472398,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
37472646,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
37472896,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
37473144,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
37473383,00000620,false,Rx,1,8,22,78,00,00,00,00,0A,0B,
37473622,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
37482289,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37492307,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37502635,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37512166,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
