Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
143266974,00000200,false,Tx,0,8,00,00,00,00,80,10,08,98,
143267182,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143267425,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143277607,00000200,false,Tx,0,8,00,00,00,00,80,10,0A,9A,
143277832,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143278556,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143287115,00000200,false,Tx,0,8,00,00,00,00,80,10,0C,9C,
143287306,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143287576,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143297594,00000200,false,Tx,0,8,00,00,00,00,80,10,0E,9E,
143297778,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143298675,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143298780,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
143307022,00000200,false,Tx,0,8,00,00,00,00,80,10,10,80,
143307239,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143307466,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143317000,00000200,false,Tx,0,8,00,00,00,00,80,10,12,82,
143317185,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143317444,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143327386,00000200,false,Tx,0,8,00,00,00,00,80,10,14,84,
143327577,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143327843,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143337086,00000200,false,Tx,0,8,00,00,00,00,80,10,16,86,
143337306,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143337564,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143346965,00000200,false,Tx,0,8,00,00,00,00,80,10,18,88,
143347173,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143347436,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143357550,00000200,false,Tx,0,8,00,00,00,00,80,10,1A,8A,
143357741,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143358004,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
